Barney,Gumble,31 Spooner St,Quahog,RI,00243,$33,12/14/2011
Peter,Griffin,31 Spooner St,Quahog,RI,00243,$55,10/5/2008
Lois,Griffin,31 Spooner St,Quahog,RI,00243,$79,8/22/2010
Stewie,Griffin,31 Spooner St,Quahog,RI,00243,$53,9/9/2009
Chris,Griffin,31 Spooner St,Quahog,RI,00243,$18,11/2/2012
Meg,Griffin,31 Spooner St,Quahog,RI,00243,$42,7/1/2007
Ned,Flanders,744 Evergreen Terrace,Springfield,IL,62704,$65,6/23/2013
Maude,Flanders,744 Evergreen Terrace,Springfield,IL,62704,$8,2/10/2006
Rod,Flanders,744 Evergreen Terrace,Springfield,IL,62704,$17,4/17/2010
Todd,Flanders,744 Evergreen Terrace,Springfield,IL,62704,$23,1/23/2014
Krusty,The Clown,13 Krusty Lane,Quahog,RI,00243,$91,3/29/2008
Sideshow,Bob,2465 Riverside Dr,Quahog,RI,00243,$43,5/24/2015
Milhouse,Van Houten,744 Evergreen Terrace,Springfield,IL,62704,$35,9/30/2009
Apu,Nahasapeemapetilon,59 Maple St,Springfield,IL,62704,$39,11/13/2011
Moe,Szellak,486-6101 Moe's Tavern,Springfield,IL,62704,$29,2/1/2008
Lionel,Hutz,502 Center St,Springfield,IL,62704,$98,12/14/2007
Troy,McClure,744 Evergreen Terrace,Springfield,IL,62704,$77,7/6/2010
Patty,Bouvier,742 Evergreen Terrace,Springfield,IL,62704,$14,8/12/2013
Selma,Bouvier,742 Evergreen Terrace,Springfield,IL,62704,$61,4/4/2006
Joe,Swanson,31 Spooner St,Quahog,RI,00243,$71,1/20/2015
